bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_Y_X_500c_cov,T_sl_wo_recent_AGN_500c_Y_X_500c_cov-,T_sl_wo_recent_AGN_500c_Y_X_500c_cov+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+
0,13.0,0.0128065163897581,0.0127142803614839,0.0129164824839733,0.0851620726429103,0.0846345167866945,0.0856716075656466,0.0896461334130829,0.0892804128471537,0.0899583241404217,0.0827780439365218,0.0824482816679232,0.083090069625269,0.0241169984256403,0.0238936760919157,0.0243506621728901,0.0314243761526255,0.0312644520998455,0.0315797029469065,0.0284116885310933,0.0282583723070142,0.028563359584956,0.1092907350749747,0.1087147329927219,0.1099394767450562,0.1026941405594529,0.1021602535595541,0.1032723833302072,0.1111905088142864,0.1107853645412212,0.1115847277817829
1,13.103992368421052,0.0119514196132856,0.0118543471617337,0.0120467683830881,0.0682127934704495,0.0677926621293158,0.068642945747571,0.0730335422911991,0.0727321563742281,0.0733484067227828,0.0665177227218378,0.0662449046342509,0.0667740583133658,0.020186548414335,0.0199908097226531,0.0203744598802803,0.028018615986146,0.0278723379969974,0.0281754802479578,0.0245827044331711,0.0244335695382464,0.0247180805380855,0.0883835496143586,0.0878534130704456,0.0889556772740292,0.0827885243929013,0.0823350294084491,0.0832314199529811,0.0911186652678633,0.0907298642682569,0.0914702887636164
2,13.207984736842104,0.0106049839245859,0.0105257784538248,0.0106916089869972,0.0573324581974244,0.0569942186644711,0.0576876539677107,0.0601423232835597,0.0598747000141426,0.0603992817459315,0.0540447705997277,0.0538217871938419,0.0542704413883365,0.0166739637354531,0.0164892017486594,0.0168464264894802,0.0241728953929711,0.0240332577296353,0.0243309158607214,0.0207411597453966,0.0206100236581435,0.0208725129343407,0.0740080001742769,0.0735363067438694,0.074450561469319,0.0686199345875365,0.0682140869934947,0.0690027233512543,0.0747797596456069,0.0744555251075891,0.0750845149098627
3,13.311977105263155,0.0089392067196519,0.0088562265385973,0.0090141519560992,0.0513021827564822,0.0509569088833841,0.0516528683233694,0.0505718979452325,0.0503389209386903,0.0508204437327983,0.044916841846223,0.0446819836264597,0.0451193853151737,0.0135201472335263,0.0133526709947632,0.0136668394790405,0.0201907549008974,0.020055202398253,0.0203400916224414,0.0170942434322156,0.0169785123951216,0.0172200104857593,0.0647725671353023,0.0643975469481299,0.0651958476428095,0.059221926788126,0.0588501875287514,0.0595689780484884,0.0619903208078745,0.0616884973952609,0.0622952304435188
4,13.41596947368421,0.0070514729364989,0.0069830843026143,0.0071255016629156,0.0480514463002135,0.0477247528182856,0.0483687386893525,0.0431708677708097,0.0429450511382298,0.0433862277241983,0.0380153431252582,0.0378039655666761,0.0382189534262688,0.0104960738771258,0.0103543576316842,0.0106317277405026,0.0162013389719006,0.0160771847335725,0.0163282083694013,0.0136533735112507,0.013541867288177,0.0137674323011767,0.0585544564885179,0.0581511110601924,0.058939700001557,0.0526670369148346,0.0523335431735941,0.0529925554774523,0.0516666792276975,0.0513930257800579,0.0519341623062688
5,13.519961842105262,0.0050744511954442,0.0050068429615757,0.005133907237044,0.0457727815835027,0.0454184490482617,0.0461209591900701,0.0369222796450874,0.0367118570828493,0.0371229830573266,0.0323617342833894,0.0321637589390513,0.0325350494453974,0.007476454704849,0.0073496101157553,0.0076109513872463,0.012346564752763,0.0122336549173223,0.0124605055773073,0.0104691252685714,0.0103684818028317,0.0105749291574068,0.0532267675812851,0.0528581622844879,0.0536435970565472,0.0472909470094947,0.0469574779058999,0.0475996439946331,0.0428224448966549,0.0425685543851334,0.0430897416414402
6,13.623954210526316,0.0032196858879122,0.0031659360747007,0.0032792071407026,0.0432149384433807,0.0428745172555405,0.0435540695648691,0.0311644287980265,0.030960855519048,0.0313650717895298,0.0272769910704472,0.0271063427050614,0.0274569092867851,0.004576240610464,0.0044413090048278,0.0047083515360251,0.0089534582016321,0.0088403763868192,0.0090661780072884,0.0077338725673742,0.0076439625747224,0.007817885407813,0.0477764650611527,0.0474173904818596,0.0481612572133889,0.0420255294783694,0.0416889825553927,0.0423393062106021,0.0350193550710977,0.03479409605803,0.035243560777294
7,13.727946578947368,0.0017143246391301,0.0016540838104768,0.0017726899303773,0.039861793626984,0.0394970981218768,0.0402157019427473,0.0258173387478242,0.0256261323052897,0.0259877376403541,0.0226110600558263,0.0224577145044316,0.0227848145813627,0.0021596137140326,0.0020162572330374,0.0022898223826028,0.0063359507280982,0.0062238909116591,0.0064535778349086,0.0056234496815904,0.0055479746118431,0.0057099854655349,0.0419857294673605,0.0416365713278613,0.0423664481729877,0.0365781974555415,0.0362891171852503,0.036907474245723,0.0282485493300839,0.028042283325936,0.0284528654975477
8,13.83193894736842,0.0006923130279719,0.0006393866941172,0.000743773950399,0.0356246363402124,0.0352888874205462,0.0359654434374654,0.0209758955269064,0.0208118364805696,0.0211336801481827,0.0183814009199103,0.01823563421707,0.0185361698641995,0.000524158486042,0.0003885204031282,0.0006466246155758,0.0045958452803038,0.0044931431506129,0.0047207863989998,0.0042145378764477,0.0041345431445205,0.0042909981686003,0.0361556362396332,0.0358028035360825,0.0365039435240625,0.0311471691783089,0.0308382616692826,0.031446643166372,0.022605359319566,0.0224035305424709,0.0227768026963582
9,13.935931315789473,0.0001457585399284,9.363152036271778e-05,0.000196905817148,0.0308664662065084,0.0305651589596174,0.0312103471867085,0.0167413765827316,0.0165847689754228,0.0168985882651413,0.0146828064796553,0.0145537078289042,0.0148279001064614,-0.000252133828212,-0.0003826211224855,-0.0001222706075744,0.0036738381535564,0.0035730609248649,0.0037821732164185,0.0034126904590387,0.0033379319093834,0.0034900374973865,0.0306196626430551,0.0302911808814311,0.0309349228862799,0.0259982595597664,0.0257218348505074,0.02628664666016,0.0180996310784725,0.017910554079219,0.0182748702802002
10,14.039923684210526,-3.470465690092176e-05,-8.716177411996938e-05,1.190414712628489e-05,0.0259723005347845,0.0256634769773053,0.0262815417843065,0.0131811108042277,0.0130350239104837,0.0133199514723485,0.0115591245707845,0.0114320987316575,0.0116761616196276,-0.0002697284611551,-0.0003880550477388,-0.0001377817979617,0.0033672221772594,0.0032602969200789,0.0034825415172706,0.0030691644663891,0.0029957486987781,0.0031418859034904,0.0256925117864498,0.0253785621881435,0.0260285974561954,0.021415640867923,0.0211444607047308,0.0216934260476059,0.0146073298135708,0.014444499540426,0.0147748449461514
11,14.143916052631578,2.334013572914482e-06,-4.861423304738141e-05,5.001234884341761e-05,0.0213289964078457,0.0210648676504272,0.0216162723273587,0.0102884520548749,0.0101630576004615,0.0104115720482077,0.0090266202480825,0.0089050976742083,0.0091354376159005,0.0002664618341021,0.0001351303077521,0.0003841977386704,0.003520858508706,0.0033688865838216,0.0036770498473166,0.0030096676994213,0.0029327719965003,0.0030859461068255,0.0215770595703858,0.0212805893938396,0.0218986484917061,0.0175634417467518,0.0173085546865705,0.0178187540359703,0.0120196255695351,0.0118682490275403,0.0121890773978894
12,14.247908421052632,0.0001585892130342,0.0001009070373756,0.0002092421543912,0.017257669885451,0.0170031121371049,0.017520316829076,0.0080595013259416,0.0079509231355641,0.0081788462629599,0.0070847686110716,0.0069840255559555,0.0071962051368538,0.0011353197783794,0.0009778700041938,0.0012979692762945,0.0039650150978246,0.0037782906150992,0.004195597316863,0.0031345322262796,0.0030528835859225,0.0032195377258509,0.0183823995920608,0.0180581533683054,0.0187261337775774,0.0145693835874592,0.014325488945498,0.0148263303205582,0.0102230681774235,0.0100639448472303,0.0103811937153106
13,14.351900789473683,0.0003598025697541,0.000296473253643,0.0004248122921922,0.0139471819642191,0.0137073405052133,0.0141974758056334,0.006437106735592,0.0063220167935619,0.0065623818082851,0.0056807086906217,0.0055757511052174,0.0057864676189078,0.0021892067502402,0.0019814498277796,0.0023993485938784,0.0046526334289507,0.0043601173448963,0.0049923764021392,0.0033696113063262,0.0032770300109518,0.0034774209462955,0.0161343924507836,0.0158025900853994,0.0164968531723764,0.0124087792345153,0.0121756367288735,0.0127064566410112,0.0090587022710875,0.0088841164025168,0.0092253807302368
14,14.455893157894735,0.0005538856763477,0.0004847003346702,0.0006259745401906,0.0114322304278708,0.0111850252004484,0.0116900863318363,0.0053156846234734,0.0051859565800111,0.0054440078454354,0.0046917799092276,0.0045835608420908,0.0048053513053684,0.0033194610858317,0.0030235325709317,0.0036082490085848,0.0054449301970563,0.0050717842784718,0.0058937391989158,0.0037023380482823,0.0035711234041457,0.0038379456721732,0.0147457333566656,0.014301896002203,0.0151710007068287,0.0110065906404731,0.0107071960662833,0.0113287280511791,0.0083992317989566,0.0081907943682975,0.008601954063182
15,14.559885526315789,0.000718123462273,0.0006354921408379,0.0008046663386369,0.0095804782459291,0.0093010403084005,0.0098289121282892,0.0045118881394405,0.0043729741833787,0.0046543137451158,0.004001925618048,0.0038941720568873,0.0041159202711415,0.0044736987826949,0.0040618927981799,0.0048195304297259,0.0063522455273617,0.0059116127712855,0.0068769555949805,0.0041315976148623,0.0039688768292801,0.0043134025988246,0.0140422886967274,0.0135098562338568,0.0145584241751807,0.0101944540212192,0.0098117638410631,0.010576947752786,0.0081527473771337,0.0079243954212046,0.00840550632146
16,14.663877894736842,0.0008351269962073,0.0007286929728948,0.0009415118559909,0.0081557037927112,0.007874411612768,0.00843536902412,0.0039384400309376,0.0037767515129144,0.004099885969006,0.0035385541592258,0.003392323807668,0.0036670794246608,0.0055793609811643,0.0051128065187483,0.0061914511470186,0.0073212860119793,0.0068139992797462,0.0078873320693046,0.0046505940539521,0.0044449685717723,0.004887803840427,0.0137476432705116,0.013076077955978,0.014462292601141,0.0096854941242736,0.0092356397120117,0.0102199490072942,0.0081938670734558,0.0078789325507644,0.0084964708323971
17,14.767870263157894,0.000886739104762,0.0007544878840944,0.0010187519795729,0.0070885461020205,0.0067330246861529,0.0074502885524846,0.0035233052620093,0.0033272132684765,0.0037174969728289,0.0032048637854941,0.0030391719300221,0.0033640552804423,0.0066624430342466,0.0060251255053743,0.0073955107138803,0.0082501015974596,0.0076650664139821,0.0088853972093182,0.0052051647842431,0.0049091493215308,0.0055299228950248,0.0138168454028376,0.0129532797150051,0.0147129341909221,0.009518538271335,0.0088430267855734,0.0101868815027766,0.008400575452634,0.0079741513077086,0.0088352482295305
18,14.871862631578948,0.0008951805516973,0.0007303989025911,0.0010799010219689,0.0064107658762452,0.0059787327162714,0.0068229815588982,0.0032209149518275,0.0029818826947571,0.0034844166186336,0.002984173373815,0.0028070730267337,0.0031972188135784,0.0076904463977734,0.0067658243387913,0.0087713313377952,0.0090417724728962,0.0083411443465355,0.0097914703893234,0.0057873228472943,0.0053206132816651,0.0062572187240677,0.0140885259688284,0.012876908243981,0.0153998349548792,0.0095508371802915,0.0087219482865495,0.0104686365206752,0.0087592331666346,0.0082181272426056,0.0093061868382719
19,14.975855,0.0008708821307602,0.0006439820000191,0.0011112689700244,0.005962283045164,0.0054282620887653,0.0064751675213003,0.0030100300437212,0.0026917816185374,0.0033327031381611,0.0028359615154027,0.0025725609590443,0.0031066685932199,0.0086719072719672,0.0074314782097948,0.0100492984517335,0.0098841025531296,0.0089896219233863,0.0108098307080735,0.0061997779072318,0.0056187971962627,0.0067522671965951,0.0145201731389944,0.0129837729052945,0.0161769790585429,0.0097493875288877,0.0087366241797604,0.0110886736784872,0.0090536155238728,0.0083369415033591,0.009781287912072
