bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq+
0,13.0,0.176365142918538,0.1746011535894709,0.1781887050998361,0.2266396864914593,0.2236283256258087,0.2297270624454799,0.351617391780924,0.3454331402329433,0.3580890846690772,0.1472821972910657,0.1455775079821597,0.1487881105887719,0.1366569598373868,0.1351193300356059,0.1380830858539645,0.1692139235680097,0.1670978532387682,0.1717386134875803
1,13.107746421052632,0.1535605262922669,0.1518220551311392,0.1552773616439147,0.2160911855472343,0.213160952739204,0.2191717966318286,0.3034551879160756,0.297092187661326,0.3092064112136423,0.1301075115598001,0.128685534197259,0.131532401474095,0.1210437744743309,0.1197068677396733,0.1223991613769365,0.1528219023050664,0.1503061495943743,0.1550426226382192
2,13.215492842105265,0.1328618842836988,0.1313680477017939,0.1345345517482914,0.207538493780068,0.204187275864566,0.210661543779442,0.2575596383612519,0.2512114661431153,0.2637507917196073,0.1160925028591636,0.1145850056760629,0.1176995401339123,0.1072972412152198,0.1058581289582958,0.1085511232844771,0.1373325359062763,0.1350708534092952,0.1394880161733091
3,13.323239263157896,0.1155250957467801,0.1139471734664532,0.117115989241549,0.1992426977181572,0.1954772824998273,0.2028098930510083,0.2146531460987655,0.2091058437010518,0.2207144110427791,0.1056589771330143,0.1039232234608419,0.1071508417986899,0.0952841039732786,0.0937431467167624,0.0967630008967146,0.1231311901987534,0.1209599904704399,0.1253189535920993
4,13.430985684210526,0.1019906998572413,0.1003771715806109,0.103503087229886,0.1904295600882607,0.1863826653415825,0.194098125087426,0.1795777392968839,0.1729750085944782,0.1854120449518798,0.0977753836841025,0.0961754898879361,0.0994383395732999,0.0856681718635026,0.0842214313492284,0.0870364062170845,0.1098539152039767,0.1075336090011646,0.1120724826962368
5,13.538732105263158,0.092531381810246,0.0908552247354545,0.0940477501742012,0.1800030307531583,0.1752335268451319,0.1847502441852379,0.1532520790589648,0.1460429283752587,0.1599815100384421,0.0919139696427953,0.0903612298855535,0.0936096400586094,0.0778421773651436,0.0764275388834952,0.0791876039536604,0.0984579249399311,0.0957753770129247,0.1009665806436884
6,13.64647852631579,0.0872070863799677,0.0855669847511791,0.088793475957297,0.1688430565260437,0.163944941802732,0.1740298853071023,0.138102457009436,0.1295161506854864,0.1464083370461293,0.0881850617369384,0.0864162180650197,0.0900249332427726,0.07209630026315,0.070740272114952,0.0734294515969035,0.090109316318076,0.0863804792155179,0.0931779764053873
7,13.75422494736842,0.084014414493783,0.0821285799736305,0.085751556409931,0.1562046178214022,0.1503762181691249,0.1624649904786636,0.1322990269835668,0.1227430026690794,0.1404885258025103,0.0845232774197156,0.0825993522278591,0.0863329559219262,0.0677762944282186,0.0660540784816531,0.0692191427038342,0.0852178685618643,0.0814069337494475,0.0888927453480772
8,13.861971368421052,0.0807217334193282,0.0788060110474166,0.0825916297033985,0.1443690117446709,0.1383482501385818,0.1508149594303416,0.1331705928967425,0.1249848037464763,0.1403117462090709,0.0809841519693714,0.0789070034749377,0.0829137885152274,0.0635960704520246,0.0621924366180932,0.0649159505235289,0.0818381396730861,0.0780980463689799,0.0853934521386584
9,13.969717789473684,0.0770359239106589,0.0749581410408209,0.0791733474326416,0.1349183280972244,0.1282119410825128,0.1406265031124407,0.1357855326817659,0.1284308303117451,0.1429678840390831,0.0773716551315167,0.0752499962000989,0.0794220316239634,0.0598192633166876,0.058017298089676,0.0615357658974689,0.0795364383432464,0.0763432749476755,0.0822452509947519
10,14.077464210526315,0.0725915507150939,0.0701868542282232,0.075052909558909,0.1273472327635293,0.1209218532631867,0.1335390412040933,0.1450661636179227,0.1392379200651781,0.1512011242561472,0.0735955806532213,0.0715142197149011,0.075984760792596,0.0561255940885405,0.0542607994027652,0.0579797978599757,0.0775889472285335,0.0745422757902305,0.0805945812404024
11,14.185210631578949,0.0672956562978306,0.0648371347931089,0.0698196153707077,0.1225525636294693,0.116400836145311,0.1288605364201596,0.1614704015417396,0.1544220996922386,0.1684004779210106,0.0695836083693218,0.0668574079511173,0.072264616623388,0.0524514726637191,0.0504927379728321,0.0543274129536054,0.0756816869748829,0.0722256594601005,0.0787600869607555
12,14.29295705263158,0.0622355752174537,0.0597977324561691,0.0647779776192073,0.1214883195146014,0.1140754099122186,0.1279600595992874,0.1881739186620242,0.1764767687764384,0.1995409558585464,0.0664228573829928,0.0634437057507959,0.0690630671950544,0.0500149538922738,0.0479649673402732,0.0521791866780283,0.074376582795277,0.0703074093435355,0.0781548067201799
13,14.40070347368421,0.0573337872621031,0.054745564067275,0.0599639043255522,0.1227599150419611,0.1141786820483989,0.13143568728688,0.2249438615160539,0.2055659726499042,0.2445930293685945,0.0645389652650342,0.0607142689999459,0.0682972269445072,0.0492770918320515,0.0462934972973107,0.0520906787752041,0.0749106942726113,0.0698778374371301,0.0798098208404708
14,14.508449894736842,0.0543423094711988,0.0510962058032868,0.0574788131621694,0.1259825213503417,0.1124074439350087,0.1393701191097267,0.2620156695135013,0.2243418206340152,0.2960860524711982,0.06511134808952,0.0596827995869652,0.0700344892105994,0.0503669852673774,0.0458346298664874,0.0545458545004444,0.0769314564738163,0.0687202729650222,0.0842426946365278
15,14.616196315789471,0.0512729470474137,0.0473363497428174,0.0556930658822804,0.1295789295746975,0.1106215929963337,0.1454969766483182,0.3114642383635776,0.2551233756710137,0.3634496130250286,0.0659339512696606,0.0575500387420953,0.074201950920455,0.052457167232609,0.0452674690065857,0.059060073616468,0.0811866245941126,0.0681636985879287,0.0937397489169135
16,14.723942736842105,0.0492631141004985,0.0437391335398644,0.0535562356758324,0.1341771564365703,0.1101680478292116,0.1554941333746158,0.3638122073348108,0.2853121849308313,0.4360484478943421,0.0677264559886973,0.0562987291073746,0.0774350441685087,0.0528431705823866,0.0434076038101702,0.0613125035727549,0.0818754423395434,0.0641472715311176,0.0962281372035888
17,14.831689157894736,0.046865826329357,0.0414686563535936,0.0520354422443507,0.1329290197355174,0.1053983014416144,0.1579379780971159,0.3958323618376385,0.3102144227898721,0.4865444796699892,0.0678490588576934,0.0550250229358991,0.0791156432939487,0.0536424793302632,0.0423712016121833,0.0624473007311429,0.0811800681203179,0.0608735932578709,0.0961337647848531
18,14.939435578947368,0.0451859225077889,0.0369896031336323,0.0521893416276265,0.1284715492232594,0.0983600478469333,0.1532247767740989,0.4287520868931954,0.3318846144185118,0.5336955955145407,0.06557117772499,0.0520809668719457,0.0769236999352501,0.05248189425163,0.0404395627983211,0.0606482324522518,0.0731118808426218,0.0534266954232612,0.0870219061379394
19,15.047182,0.0421202023847648,0.0304509530616406,0.0519720472087685,0.1134613036304185,0.0818403341985851,0.1393078538935379,0.412417334479888,0.3106585016500813,0.5478741489011437,0.0591519654619686,0.0438045404827351,0.0722567033600018,0.0495487609593035,0.03754265384378,0.0603646908580685,0.062206888693578,0.0440379533661016,0.0759942734347584
